"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
159866,"Research Engineer, Science","London, UK","Full-time","177283.0","2023-06-28 21:00:41","DeepMind"
258461,"Data Architect","Bristol, UK","Full-time","165000.0","2023-02-13 16:32:46","AND Digital"
1563887,"Data Architect","Cambridge, UK","Full-time","165000.0","2023-08-17 12:17:54","Darktrace"
478395,"Data Architect","London, UK","Full-time","163782.0","2023-03-01 22:26:19","Logispin"
585859,"Research Scientist, Science","London, UK","Full-time","149653.0","2023-06-29 19:18:22","DeepMind"
217504,"Analytics Engineer - ENA London, Warsaw- (F/M)","London, UK","Full-time","139216.0","2023-04-21 10:38:48","AccorCorpo"
307234,"Finance Data Analytics Manager","Manchester, UK","Full-time","132500.0","2023-04-01 12:20:22","AJ Bell"
178006,"Data Analyst - (Ratings Ops)","London, UK","Full-time","111175.0","2023-05-17 01:21:58","Sylvera"
4851,"Business Intelligence Data Analyst","London, UK","Full-time","111175.0","2023-03-24 10:22:34","Ocorian"
1396666,"Data Analyst - Financial services","Newcastle upon Tyne, UK","Full-time","111175.0","2023-02-28 14:23:24","Version 1"
